Candidate,Miami-Dade,Broward,Palm Beach,Hillsborough,Orange,Pinellas,Duval,Lee,Brevard,Polk,Volusia,Pasco,Sarasota,Seminole,Manatee,Marion,Collier,Lake,Escambia,Leon,St. Lucie,Osceola,St. Johns,Alachua,Clay,Okaloosa,Charlotte,Hernando,Santa Rosa,Bay,Martin,Indian River,Citrus,Sumter,Flagler,Nassau,Highlands,Monroe,Walton,Putnam,Columbia,Gadsden,Jackson,Levy,Suwannee,Wakulla,Okeechobee,Baker,Bradford,Washington,Hendry,Desoto,Taylor,Holmes,Madison,Gilchrist,Jefferson,Hardee,Gulf,Dixie,Calhoun,Franklin,Union,Hamilton,Glades,Lafayette,Liberty
Donald Trump,333999,260951,272402,266870,195216,239201,211672,191551,181848,157430,143007,142101,124438,109443,101944,107833,105423,102188,88808,53821,70289,50301,88684,46834,74963,71893,60218,58970,65339,62194,53204,48620,54456,52730,33850,34266,29565,21904,25756,22138,20368,6728,14257,13775,14287,10512,9356,10294,8913,8637,6195,6778,6930,7483,4851,6740,3930,5242,5329,5822,4655,4125,4568,3443,2996,2809,2543
Hillary Clinton,624146,553320,374673,307896,329894,233701,205704,124908,119679,117433,109091,90142,97870,105914,71224,62041,61085,62838,57461,92068,66881,85458,43099,75820,27822,23780,33445,31795,18464,21797,30185,29043,22789,22638,22026,10869,14937,18971,6876,10094,7601,15020,6397,5101,3964,4348,3959,2112,2924,2264,4615,3781,2152,853,3526,1458,3541,2149,1720,1270,1241,1744,1014,1904,1271,518,651
Other,22059,17680,15257,22894,21165,19501,15319,9961,13225,9451,8771,8896,6755,9539,5790,4826,4281,5436,6200,6243,3677,4447,4731,5917,3698,5182,2711,3031,3942,3462,2403,2346,2455,1297,1627,1472,1184,1603,1005,885,738,365,387,519,443,491,338,228,261,255,305,259,208,178,128,222,174,192,244,110,185,146,112,113,86,65,102
